Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station,num_facilities
3.0,2.0,900,0,The 19 USJ City Mall,"Apartment / Condominium, For Sale","Security, Barbeque area, Minimart, Playground, Parking",Goodyear Court 10,-,Freehold,"Jalan Subang Indah, USJ 15, Subang Jaya, Selangor",1997.0,5.0,480.0,Apartment,2.0,Low,Bumi Lot,E,"Bus Stop at Persiaran Mulia 1
Bus Stop at Jalan Mulia 1
Bus Stop at Jalan Mulia 2
Bus Stop at Persiaran Mulia 2",0,0,"USJ15 Vision School Complex
Sekolah Jenis Kebangsaan Islam Pintar SRIP
Sekolah Jenis Kebangsaan (T) Ladang Seafield
Sekolah Kebangsaan Seafield 3
Sekolah Kebangsaan USJ 20
Sekolah Menengah Kebangsaan USJ 13",0,379000,0,0,LRT Station Wawasan (Kelana Jaya Line),5
3.0,2.0,1002,0,,"Apartment / Condominium, For Sale",-,The Park @ Mak Mandin,Silver Channel Sdn. Bhd. (Tamarins Group),Freehold,"Jalan Mak Mandin, Butterworth, Penang",2020.0,14.0,780.0,Apartment,1.0,Low,Non Bumi Lot,E,,0,0,,0,360000,0,0,,1
2.0,2.0,820,0,,"Apartment / Condominium, For Sale","Gymnasium, Multipurpose hall, Parking, Playground, Jogging Track, Swimming Pool, Security, Minimart, Tennis Court",Greenfield Regency,Alpha Astral,Freehold,"Jalan Skudai Lama, Taman Tampoi Indah, Johor Bahru, Johor",2014.0,22.0,561.0,Apartment,2.0,Medium,Non Bumi Lot,E,,0,0,,0,380000,0,0,,9
2.0,2.0,798,0,,"Apartment / Condominium, For Sale","Security, Playground, Gymnasium, Club house, Swimming Pool, Jogging Track, Parking, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court",R&F Princess Cove,R&F Development Sdn Bhd,Freehold,"Off Lebuhraya Sultan Iskandar, Tanjung Puteri, Johor Bahru, Johor",2018.0,35.0,3224.0,Service Residence,1.0,High,Non Bumi Lot,E,,0,0,,0,772090,0,0,,13
4.0,3.0,2214,0,,"Apartment / Condominium, For Sale","Swimming Pool, Jogging Track, Gymnasium, Sauna, Multipurpose hall, Club house, Minimart, Playground, Barbeque area, Parking, Security",Maple Residences,Ksl Holdings Berhad,Freehold,"Jalan Langat KS9, Bandar Bestari, Klang, Selangor",2018.0,22.0,576.0,Service Residence,4.0,High,Non Bumi Lot,AE,"Bus Stop at Jalan Langat 2
Bus Stop at Jalan Langat 1",0,0,Sekolah Jenis Kebangsaan (T) Ladang Highlands,0,950000,0,0,,11
3.0,2.0,982,0,,"Apartment / Condominium, For Sale","Security, Swimming Pool, Gymnasium, Playground, Minimart, Parking, Lift, Barbeque area, Club house, Jogging Track",The Gardens (Penampang),Sc Land Group,Leasehold,"Lorong Taman Formosa 2, Taman Farmosa, Penampang, Sabah",2017.0,22.0,480.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,515000,0,0,,10
3.0,2.0,1165,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",The Golden Triangle,Gsv Development Sdn Bhd,Freehold,"Jalan Paya Terubong, Off Jalan Dato Ismail Hashim, Relau, Penang",2021.0,22.0,406.0,Condominium,2.0,-,Non Bumi Lot,E,,0,0,,0,620000,0,0,,10
3.0,2.0,800,0,Setapak Central,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",J.Satine,Gandingan Jakel,Leasehold,"Jalan 3/23a, Setapak, Kuala Lumpur",2026.0,22.0,3600.0,Service Residence,1.0,Medium,Non Bumi Lot,VE,"Bus Stop Setapak Sentral (Opp)
Bus Stop Starparc Point
Bus Stop Sri Utama Schools (Opp)
Bus Stop Setapak Central
Bus Stop 1 Sri Utama Schools
Bus Stop Columbia Hospital
Bus Stop Setapak Industrial Area
Bus Stop CIMB Genting Klang
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 2 Setapak Food Court
Bus Stop 1 Medan Makmur Setapak
Bus Stop PV15 Platinum
Bus Stop Jalan Kilang
Bus Stop BHP Genting Klang
Bus Stop PV128 Setapak
Bus Stop Aeon Big Danau Kota
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop Rampai Business Park
Bus Stop Langkawi Apartment (Opp)
Bus Stop Sri Rampai Park",0,0,"SJK (C) Wangsa Maju
Sri Utama Schools
Sekolah Menengah Pendidikan Khas Cacat Penglihatan
Kolej Vokasional Setapak
SK Danau Kota (2)
Sekolah Kebangsaan Danau Kota
SMK Danau Kota",0,300000,0,0,,11
3.0,2.0,755,0,,"Apartment / Condominium, For Sale","Lift, Security, Swimming Pool, Playground, Parking, Minimart, Gymnasium, Club house",Ketumbar Heights,Mahajaya Berhad,Freehold,"Jalan 6/95B, Taman Cheras, Cheras, Kuala Lumpur",2010.0,14.0,336.0,Condominium,1.0,Medium,Non Bumi Lot,-,,0,0,,0,259999,0,0,,8
3.0,2.0,883,0,,"Apartment / Condominium, For Sale","Security, Sauna, Minimart, Parking, Playground, Swimming Pool, Gymnasium, Jogging Track, Lift",Garden Park,Shl Consolidated Berhad,Leasehold,"Jalan Sungai Long 12/1 A, Tmn Sungai Long Makmur 2, Bandar Sungai Long, Selangor",2001.0,14.0,704.0,Condominium,1.0,Low,Non Bumi Lot,,,0,0,,0,250000,0,0,,9
3.0,2.0,925,0,,"Apartment / Condominium, For Sale","Security, Lift, Playground, Swimming Pool, Parking, Gymnasium, Sauna, Minimart, Multipurpose hall",M3 Residency,Mega Planner Jaya Sdn. Bhd.,Leasehold,"Off Jalan Taman Melati 1/5, Taman Melati, Setapak, Kuala Lumpur",2017.0,16.0,412.0,Service Residence,1.0,High,Bumi Lot,E,,0,0,,0,365000,0,0,,9
3.0,3.0,1300,0,,"Apartment / Condominium, For Sale","Parking, Minimart, Playground, Security",TriTower Residence @ Johor Bahru Sentral,Mb Group,Freehold,"Off Bukit Chagar, Johor Bahru, Johor",2020.0,55.0,360.0,Condominium,2.0,High,Non Bumi Lot,-,,0,0,,0,399000,0,0,,4
3.0,2.0,950,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Leasehold,"Lot 30256 & 3952, Jalan Sentul Pasar, Sentul, Kuala Lumpur",2023.0,38.0,900.0,Apartment,2.0,Medium,Non Bumi Lot,VE,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",0,0,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",0,450000,0,0,,12
3.0,2.0,950,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Leasehold,"Lot 30256 & 3952, Jalan Sentul Pasar, Sentul, Kuala Lumpur",2023.0,38.0,900.0,Apartment,2.0,Medium,Non Bumi Lot,VE,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",0,0,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",0,450000,0,0,,12
2.0,2.0,950,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Queens Residences @ Queens Waterfront,Ideal Property Group,Freehold,"Persiaran Bayan Indah, Bayan Lepas, Penang",2022.0,22.0,450.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,1200000,0,0,,10
2.0,3.0,950,0,,"Apartment / Condominium, For Sale","Security, Gymnasium, Jogging Track, Parking, Lift, Swimming Pool, Sauna, Barbeque area, Playground, Minimart, Multipurpose hall, Club house",Queens Residences @ Queens Waterfront,Ideal Property Group,Freehold,"Persiaran Bayan Indah, Bayan Lepas, Penang",2022.0,22.0,450.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,990000,0,0,,12
3.0,2.0,850,0,,"Apartment / Condominium, For Sale",-,"Orchis Apartment, Bandar Parklands",Wct Holding Berhad,Freehold,"Jalan Delima 4, Bandar Parklands,, Klang, Selangor",2017.0,5.0,400.0,Apartment,2.0,Low,Non Bumi Lot,E,,0,0,Sekolah Jenis Kebangsaan (C) Wu Teck,0,318000,0,0,,1
3.0,3.0,1277,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",Opal Residensi,Pkns,Leasehold,"Jalan Baiduri Bulan 7/28, Shah Alam, Selangor",2016.0,15.0,138.0,Condominium,3.0,Medium,Bumi Lot,VE,,0,0,,0,660000,0,0,,7
2.0,2.0,950,0,,"Apartment / Condominium, For Sale","Jogging Track, Security, Parking, Gymnasium",Queens Residences @ Queens Waterfront,Ideal Property Group,Freehold,"Persiaran Bayan Indah, Bayan Lepas, Penang",2022.0,22.0,450.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,930000,0,0,,4
2.0,2.0,906,0,,"Apartment / Condominium, For Sale","Minimart, Tennis Court, Barbeque area, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool",Austin Suites,Mah Sing Group Berhad,Freehold,"Jalan Austin Perdana 1, Johor Bahru, Johor",2014.0,21.0,460.0,Service Residence,2.0,Medium,Non Bumi Lot,E,,0,0,,0,388000,0,0,,8
3.0,2.0,900,0,,"Apartment / Condominium, For Sale","Playground, Security, Swimming Pool, Gymnasium, Tennis Court, Parking, Club house",Aspire Residence,Syarikat Perumahan Negara Berhad,Freehold,"Persiaran Aspirasi, Cyber 10, Cyberjaya, Selangor",2023.0,25.0,1168.0,Apartment,2.0,Medium,Bumi Lot,VEPM,,0,0,Brainy Bunch International School and Headquarters,0,345000,0,0,,7
3.0,2.0,1000,0,,"Apartment / Condominium, For Sale","Swimming Pool, Security, Gymnasium, Parking, Playground",Lido Four Seasons Residence,-,Freehold,"35, Lorong Raffelesia 1, Kota Kinabalu, Sabah",2015.0,22.0,480.0,Condominium,1.0,Low,Non Bumi Lot,E,,0,0,,0,528000,0,0,,5
3.0,2.0,650,0,,"Apartment / Condominium, For Sale","Security, Parking, Playground, Jogging Track, Lift",I-Park Apartment,Ideal Property Group,Freehold,"Jalan Rajawali Off Jalan Dato Ismail Hashim, Sungai Ara, Penang",2014.0,22.0,480.0,Apartment,2.0,-,Non Bumi Lot,E,,0,0,,0,215000,0,0,,5
2.0,2.0,914,0,,"Apartment / Condominium, For Sale","Playground, Swimming Pool, Security, Parking, Lift, Gymnasium","Paisley @ Tropicana Metropark, Subang Jaya",Tropicana Corporation Berhad,Freehold,"Jalan Delima 1/1,Subang Hi-Tech, Shah Alam, Selangor",2021.0,22.0,480.0,Service Residence,2.0,-,Non Bumi Lot,E,"Bus Stop at Persiaran Teknologi 2
Bus Stop at Persiaran Teknologi 1
Bus Stop at Lorong Intan 2
Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Jalan Batu Tiga Lama 3",0,0,Sekolah Kafa Integrasi Nurul Hidayah,0,680000,0,0,KTM Station Batu Tiga (Komuter Tanjung Malim-Pelabuhan Klang),6
4.0,3.0,1346,0,,"Apartment / Condominium, For Sale","Gymnasium, Security, Playground, Parking, Swimming Pool, Lift",USJ One Avenue,Usj One Avenue Sdn Bhd,Leasehold,"Persiaran Mewah, USJ 1, Subang Jaya, Selangor",2008.0,19.0,448.0,Condominium,2.0,-,Bumi Lot,E,"Bus Stop at Persiaran Subang Mewah 1
Bus Stop at Persiaran Subang Mewah 2",0,0,Sekolah Jenis Kebangsaan (C) Chee Wen,0,520000,0,0,,6
3.0,2.0,700,0,,"Apartment / Condominium, For Sale",Lift,Desa Green Apartment (Jelutong),-,Freehold,"Jalan Van Praagh, off Perak Road, Jelutong, Penang",1997.0,22.0,1008.0,Apartment,1.0,-,Non Bumi Lot,E,,0,0,,0,298000,0,0,,1
3.0,2.0,1050,0,,"Apartment / Condominium, For Sale","Gymnasium, Parking, Security, Swimming Pool, Lift, Playground, Jogging Track",Maxim Residences,Meridian Maxim Sdn Bhd,Leasehold,"Off Taman Len Seng, Cheras, Cheras, Kuala Lumpur",2017.0,34.0,542.0,Service Residence,2.0,Medium,Non Bumi Lot,,,0,0,"SK Seri Anggerik
SMK Orkid Desa
Rocklin Learning Center",0,530000,0,0,MRT Station Taman Connaught (MRT Sungai Buloh-Kajang Line),7
2.0,2.0,715,0,,"Apartment / Condominium, For Sale","Multipurpose hall, Swimming Pool, Gymnasium, Security, Playground, Sauna, Parking, Lift, Barbeque area, Minimart",Desa Green Serviced Apartment,Uoa Group,Freehold,"Jalan Desa Bakti, Taman Desa, Taman Desa, Kuala Lumpur",2016.0,486.0,1388.0,Service Residence,1.0,High,Non Bumi Lot,,"Bus Stop SMK Desa Perdana
Bus Stop Masjid Al-Muhsirin
Bus Stop Taman Desa (Utara)
Bus Stop SMK Taman Desa",0,0,"SMK Desa Perdana
Sekolah Kebangsaan Taman Desa Kuala Lumpur",0,480000,0,0,,10
3.0,2.0,1382,0,Wangsa Walk Mall,"Apartment / Condominium, For Sale","Sauna, Squash Court, Jogging Track, Club house, Security, Playground, Swimming Pool, Tennis Court, Parking, Gymnasium, Barbeque area",Seri Riana Residence,Ijm Land Berhad,Leasehold,"No Address, Wangsa Maju, Kuala Lumpur",2016.0,22.0,396.0,Condominium,2.0,Low,Non Bumi Lot,E,"Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Wisma Felcra
Bus Stop SMK Taman Sri Rampai
Bus Stop Sri Ledang Seksyen 10
Bus Stop Petron",0,0,"SK Wangsa Maju Zon R10
SMK Seksyen 5 Wangsa Maju
SMK Taman Seri Rampai",0,770000,0,0,LRT Station Sri Rampai (Kelana Jaya Line),11
3.0,2.0,1300,0,,"Apartment / Condominium, For Sale","Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Cristal Serin Residence,-,Freehold,"Jalan Fauna 1, Cyberjaya, Selangor",2012.0,22.0,350.0,Condominium,3.0,Medium,Non Bumi Lot,,,0,0,,0,470000,0,0,,10
3.0,2.0,700,0,,"Apartment / Condominium, For Sale","Security, Parking",Century Park,-,Freehold,"No. 35 Persiaran Batu Uban, Gelugor, Penang",1999.0,9.0,155.0,Apartment,1.0,Low,Non Bumi Lot,E,,0,0,,0,328000,0,0,,2
3.0,2.0,1010,0,,"Apartment / Condominium, For Sale","Parking, Security, Playground, Multipurpose hall, Swimming Pool, Lift, Jogging Track, Barbeque area",LakeFront Residence,Mct Berhad,Leasehold,"Off Persiaran Bestari, Cyberjaya, Selangor",2017.0,42.0,1932.0,Condominium,2.0,Medium,Bumi Lot,E,,0,0,ELC International School,0,450000,0,0,,8
3.0,2.0,1349,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",The Suritz,Casa Sara (Scland),Leasehold,"Taman Kelombong, Kota Kinabalu, Sabah",2015.0,22.0,128.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,548000,0,0,,7
2.0,1.0,753,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Akademik Suites @ Austin Heights,Austin Heights Sdn Bhd,Freehold,"Jalan Austin Heights Utama, Johor Bahru, Johor",2014.0,22.0,480.0,Apartment,1.0,Low,Non Bumi Lot,E,,0,0,,0,318000,0,0,,6
2.0,2.0,818,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",The Wharf Residence,Bolton Berhad,Leasehold,"Persiaran Taman Tasik Prima 3, Lake Vista, Puchong, Selangor",2014.0,33.0,1002.0,Service Residence,1.0,High,Non Bumi Lot,E,,0,0,Sekolah Menengah Kebangsaan Puchong Utama (1),0,270000,0,0,,14
4.0,3.0,1458,0,Gem In Mall,"Apartment / Condominium, For Sale","Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Cyberia SmartHomes,Paramoden (Mk Land),Freehold,"Persiaran Multimedia, Cyberjaya, Selangor",2002.0,22.0,1188.0,Condominium,1.0,High,Non Bumi Lot,E,"Bus Stop at Persiaran Multimedia 1
Bus Stop at Jalan Fauna 1
Bus Stop at University bus stop
Bus Stop at Persiaran Ceria",0,0,"Sekolah Kebangsaan Cyberjaya
Sekolah Menengah Kebangsaan Cyberjaya
King Henry VIII College
ELC International School",0,258000,0,0,,13
3.0,2.0,850,0,,"Apartment / Condominium, For Sale","Multipurpose hall, Parking, Security, Minimart, Swimming Pool, Gymnasium",Residensi Bistaria,-,Freehold,"Jalan Ukay Bistari, Taman Ukay Bistari, Ampang, Selangor",2013.0,15.0,480.0,Condominium,1.0,Medium,Bumi Lot,E,"Bus Stop at Jalan AU 3/1 2
Bus Stop at SK Hulu Klang
Bus Stop at Kompleks Dawama
Bus Stop at Middle Ring Road 2 1
Bus Stop at Jalan AU 3/1 3",0,0,"Sekolah Kebangsaan Hulu Kelang
Sekolah Menengah Kebangsaan Seri Keramat
Sekolah Menengah Kebangsaan Lembah Keramat",0,300000,0,0,,6
3.0,2.0,1040,0,,"Apartment / Condominium, For Sale","Parking, Swimming Pool, Club house, Playground, Security, Gymnasium, Minimart",Platinum Lake PV 21,Platinum Victory Development Sdn Bhd,Leasehold,"Jalan Usahawan, Off Jalan Genting Kelang, Setapak, Kuala Lumpur",2016.0,28.0,700.0,Service Residence,2.0,High,Non Bumi Lot,E,"Bus Stop 1 Setapak Food Court
Bus Stop 2 Setapak Food Court
Bus Stop CIMB Genting Klang
Bus Stop 1 Medan Makmur Setapak
Bus Stop 2 Medan Makmur Setapak
Bus Stop Columbia Hospital
Bus Stop BHP Genting Klang
Bus Stop PV128 Setapak
Bus Stop Setapak Industrial Area
Bus Stop Setapak Sentral (Opp)
Bus Stop PV15 Platinum
Bus Stop 1 Sri Utama Schools
Bus Stop Sri Utama Schools (Opp)
Bus Stop 2 Sri Utama Schools
Bus Stop Sri Pelangi Condominium
Bus Stop Setapak Central
Bus Stop Starparc Point
Bus Stop Setapak Commercial
Bus Stop Jalan Genting Klang
Bus Stop Aeon Big Danau Kota
Bus Stop Jalan Kilang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Langkawi Apartment (Opp)
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop BSN Genting Klang
Bus Stop KFC Genting Klang
Bus Stop Rampai Business Park",0,0,"SJK (C) Wangsa Maju
Sri Utama Schools
SK Danau Kota (2)
SMK Danau Kota
SK Mariam Convent
Sekolah Menengah Pendidikan Khas Cacat Penglihatan",0,430000,0,0,,7
4.0,2.0,1272,0,Setapak Central,"Apartment / Condominium, For Sale","Jogging Track, Barbeque area, Multipurpose hall, Parking, Security, Squash Court, Club house, Playground, Tennis Court, Minimart, Swimming Pool, Gymnasium",PV 10 Platinum Lake Condominium,Platinum Victory Sdn. Bhd.,Leasehold,"No. 2 Jalan Danau Saujana 2, Danau Kota, Setapak, Kuala Lumpur",2008.0,22.0,800.0,Condominium,2.0,Medium,Non Bumi Lot,E,"Bus Stop Aeon Big Danau Kota
Bus Stop Langkawi Apartment (Opp)
Bus Stop PV15 Platinum
Bus Stop Perumahan Taman Setapak
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop Columbia Hospital
Bus Stop PV128 Setapak
Bus Stop CIMB Genting Klang
Bus Stop BHP Genting Klang
Bus Stop 1 Setapak Food Court
Bus Stop Setapak Garden Commercial
Bus Stop 2 Jalan Jerejak
Bus Stop Setapak Central
Bus Stop 2 Setapak Food Court
Bus Stop Setapak Sentral (Opp)
Bus Stop Sri Pelangi Condominium
Bus Stop Sutera Condominium
Bus Stop Jalan Genting Klang
Bus Stop Idaman Puteri Condominium
Bus Stop 1 Medan Makmur Setapak
Bus Stop Starparc Point
Bus Stop 1 Jalan Jerejak
Bus Stop 2 Medan Makmur Setapak
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop KFC Genting Klang
Bus Stop BSN Genting Klang",0,0,"SK Danau Kota (2)
SMK Danau Kota
SJK (C) Wangsa Maju
SJK (C) Lee Rubber
Sekolah Rendah Agama At-Taqwa
Sekolah Kebangsaan Danau Kota",0,480000,0,0,,12
3.0,2.0,1411,0,,"Apartment / Condominium, For Sale","Multipurpose hall, Gymnasium, Playground, Security, Squash Court, Jogging Track, Barbeque area, Parking, Swimming Pool",Zen Residence,Sentral City (M) Sdn Bhd,Leasehold,"Jalan Puchong Batu 13/12, Puchong, Selangor",2011.0,21.0,286.0,Condominium,2.0,Medium,Bumi Lot,E,Bus Stop at Puchong Utama 1 (Presint 10),0,0,"Sekolah Jenis Kebangsaan(T) Puchong
Sekolah Menengah Kebangsaan Puchong
Sekolah Jenis Kebangsaan(C) Han Ming
Sekolah Agama KAFA Integrasi Al-Thaqafah
Sekolah Kebangsaan Puchong
Sekolah Kebangsaan Puchong Utama 3",0,479000,0,0,,9
3.0,2.0,736,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Playground",Kemuning Aman,Paramount Property Development,Freehold,"Kemuning, Shah Alam, Selangor",2010.0,22.0,596.0,Apartment,2.0,-,Non Bumi Lot,E,"Bus Stop at Jalan Bukit Rimau
Bus Stop at Jalan Sungai Burung Z32/Z",0,0,,0,250000,0,0,,4
5.0,4.0,2509,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track",Cassia Resort Condominium,-,Freehold,"Jalan Raja Uda, Butterworth, Penang",2008.0,22.0,480.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,790000,0,0,,11
3.0,3.0,1124,0,AEON Mall Shah Alam,"Apartment / Condominium, For Sale","Security, Parking, Gymnasium, Swimming Pool, Multipurpose hall, Playground, Lift, Minimart, Sauna, Barbeque area, Jogging Track",V-Residensi 2,B&G Property,Freehold,"Seksyen 22, Shah Alam, Selangor",2016.0,22.0,616.0,Service Residence,2.0,Low,Non Bumi Lot,E,"Bus Stop at Batu Tiga Federal Highway
Bus Stop at Federal Highway 4
Bus Stop at Seksyen 15 (Timur)
Bus Stop at Persiaran Teknologi 1
Bus Stop at Persiaran Jubli Perak 5
Bus Stop at Persiaran Teknologi 2
Bus Stop at Lorong Intan 2
Bus Stop at Jalan Batu Tiga Lama 3",0,0,,0,535000,0,0,KTM Station Batu Tiga (Komuter Tanjung Malim-Pelabuhan Klang),11
4.0,2.0,1272,0,,"Apartment / Condominium, For Sale","Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",Platinum Hill PV 3,Platinum Victory Development Sdn Bhd,Freehold,"No. 3 Jalan Melati Utama, Taman Melati Utama, Setapak, Kuala Lumpur",2013.0,17.0,475.0,Condominium,2.0,Medium,Non Bumi Lot,-,,0,0,,0,410000,0,0,,6
3.0,3.0,1250,0,,"Apartment / Condominium, For Sale","Playground, Jogging Track, Gymnasium, Minimart, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Sauna, Club house, Security, Parking, Tennis Court",K Avenue Residential,Megacity Avenue Sdn Bhd,Leasehold,"Jalan Cyber City, Kota Kinabalu, Sabah",2022.0,22.0,630.0,Service Residence,2.0,High,Non Bumi Lot,E,,0,0,,0,835000,0,0,,13
3.0,2.0,1227,0,,"Apartment / Condominium, For Sale","Parking, Swimming Pool, Security, Gymnasium, Jogging Track, Lift, Playground",Flora Rosa,Putrajaya Holdings Sdn Bhd,Freehold,"Residence Flora Rosa Presint 11 Putrajaya, Putrajaya, Putrajaya",2020.0,17.0,676.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,596957,0,0,,7
3.0,2.0,984,0,,"Apartment / Condominium, For Sale",-,Residensi Setia Impian @ Kajang,Trans Loyal Development Sdn Bhd,Freehold,"Jalan Setia Menanti, Kajang, Selangor",2020.0,26.0,420.0,Apartment,2.0,-,Non Bumi Lot,E,,0,0,,0,355000,0,0,,1
3.0,2.0,1378,0,,"Apartment / Condominium, For Sale","Swimming Pool, Playground, Parking, Security",The Chancellor Condominium,-,Leasehold,"Jalan Kosas 2, Ampang, Kuala Lumpur",2017.0,15.0,368.0,Condominium,2.0,-,Bumi Lot,E,,0,0,,0,400000,0,0,,4
1.0,1.0,407,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Lovell @ Country Garden Danga Bay,Country Garden Danga Bay Sdn. Bhd.,Freehold,"Jalan Skudai Off Country Garden Danga Bay, Johor Bahru, Johor",2017.0,22.0,480.0,Condominium,2.0,Medium,Non Bumi Lot,,,0,0,,0,358000,0,0,,14
3.0,2.0,1001,0,,"Apartment / Condominium, For Sale","Security, Playground, Parking, Swimming Pool, Barbeque area, Gymnasium, Multipurpose hall",Sentul Point Suite Apartment,Uoa Group,Freehold,"Jalan Sentul Pasar, Sentul, Kuala Lumpur",2020.0,44.0,1400.0,Condominium,1.0,-,Non Bumi Lot,E,,0,0,,0,500000,0,0,,7
3.0,2.0,700,0,,"Apartment / Condominium, For Sale","Parking, Security, Gymnasium, Jogging Track, Barbeque area, Playground",Taman Kheng Tian,Belleview Group,Freehold,"Jalan Van Praagh, Jelutong, Penang",2006.0,20.0,480.0,Apartment,1.0,-,Non Bumi Lot,E,,0,0,,0,350000,0,0,,6
3.0,2.0,700,0,,"Apartment / Condominium, For Sale","Tennis Court, Squash Court, Parking, Playground, Security, Swimming Pool",Casa Impian,-,Freehold,"No. 78, Jalan Ooi Thiam Siew, Jelutong, Penang",2006.0,18.0,182.0,Apartment,1.0,-,Non Bumi Lot,E,,0,0,,0,410000,0,0,,6
